task,dependsOn,dic
visual,z,6705.088510661675
visual,v+z+a,6711.862193982233
visual,z+a,6716.83403689883
visual,v+z,6760.833482416161
visual,v,8294.822460961219
visual,v+a,8297.9596578113
visual,a,8575.82210889971
visual,,8583.297514275115
