subj_idx,task,condition,stimulus,subject_answered,response,rt
s01,audio,incongruent,slow,slow,1.0,0.764
s01,audio,incongruent,slow,slow,1.0,1.045
s01,audio,control,fast,fast,1.0,0.865
s01,audio,incongruent,slow,fast,0.0,1.007
s01,audio,control,slow,slow,1.0,1.493
s01,audio,incongruent,fast,fast,1.0,0.861
s01,audio,control,slow,fast,0.0,0.97
s01,audio,incongruent,fast,fast,1.0,1.633
s01,audio,incongruent,fast,fast,1.0,1.014
s01,audio,control,fast,fast,1.0,1.581
s01,audio,congruent,slow,slow,1.0,1.002
s01,audio,incongruent,slow,fast,0.0,0.708
s01,audio,control,fast,fast,1.0,0.753
s01,audio,congruent,slow,slow,1.0,0.909
s01,audio,control,slow,slow,1.0,1.915
s01,audio,congruent,slow,fast,0.0,0.703
s01,audio,congruent,slow,slow,1.0,1.059
s01,audio,congruent,slow,slow,1.0,0.751
s01,audio,control,fast,fast,1.0,0.951
s01,audio,congruent,fast,fast,1.0,1.172
s01,audio,control,fast,fast,1.0,0.855
s01,audio,control,slow,fast,0.0,0.776
s01,audio,incongruent,slow,slow,1.0,0.883
s01,audio,incongruent,fast,fast,1.0,1.071
s01,audio,incongruent,fast,fast,1.0,1.332
s01,audio,incongruent,fast,fast,1.0,0.923
s01,audio,congruent,slow,slow,1.0,1.141
s01,audio,incongruent,slow,slow,1.0,1.042
s01,audio,incongruent,slow,slow,1.0,0.735
s01,audio,incongruent,slow,slow,1.0,0.767
s01,audio,control,fast,fast,1.0,0.811
s01,audio,control,slow,slow,1.0,1.138
s01,audio,incongruent,slow,fast,0.0,1.058
s01,audio,incongruent,slow,slow,1.0,1.015
s01,audio,congruent,fast,fast,1.0,0.783
s01,audio,control,fast,fast,1.0,0.919
s01,audio,control,slow,slow,1.0,1.52
s01,audio,congruent,fast,fast,1.0,1.339
s01,audio,control,slow,slow,1.0,1.594
s01,audio,incongruent,slow,slow,1.0,0.839
s01,audio,congruent,fast,fast,1.0,0.79
s01,audio,congruent,fast,fast,1.0,0.763
s01,audio,congruent,slow,slow,1.0,1.087
s01,audio,incongruent,fast,fast,1.0,0.822
s01,audio,incongruent,slow,slow,1.0,0.911
s01,audio,control,slow,slow,1.0,0.747
s01,audio,incongruent,slow,slow,1.0,0.894
s01,audio,control,fast,fast,1.0,0.894
s01,audio,congruent,fast,fast,1.0,1.276
s01,audio,incongruent,slow,slow,1.0,1.198
s01,audio,control,slow,slow,1.0,0.915
s01,audio,incongruent,slow,slow,1.0,1.164
s01,audio,control,fast,fast,1.0,0.967
s01,audio,control,slow,slow,1.0,1.094
s01,audio,control,slow,slow,1.0,0.895
s01,audio,incongruent,fast,slow,0.0,1.574
s01,audio,incongruent,slow,slow,1.0,0.886
s01,audio,congruent,fast,fast,1.0,1.013
s01,audio,incongruent,slow,slow,1.0,0.971
s01,audio,control,slow,slow,1.0,1.154
s01,audio,control,fast,fast,1.0,0.879
s01,audio,congruent,fast,slow,0.0,0.819
s01,audio,control,fast,fast,1.0,0.852
s01,audio,control,fast,fast,1.0,0.79
s01,audio,congruent,fast,fast,1.0,1.822
s01,audio,congruent,slow,fast,0.0,0.962
s01,audio,control,slow,slow,1.0,1.009
s01,audio,congruent,fast,fast,1.0,0.888
s01,audio,congruent,slow,slow,1.0,0.886
s01,audio,incongruent,fast,slow,0.0,1.48
s01,audio,control,slow,slow,1.0,0.942
s01,audio,congruent,fast,fast,1.0,0.991
s01,audio,control,fast,fast,1.0,1.135
s01,audio,congruent,slow,slow,1.0,1.154
s01,audio,congruent,fast,fast,1.0,1.907
s01,audio,congruent,slow,slow,1.0,0.974
s01,audio,congruent,fast,fast,1.0,1.623
s01,audio,incongruent,fast,slow,0.0,1.013
s01,audio,control,fast,slow,0.0,0.826
s01,audio,control,slow,slow,1.0,1.506
s01,audio,congruent,slow,slow,1.0,1.254
s01,audio,incongruent,slow,slow,1.0,1.198
s01,audio,control,fast,fast,1.0,1.743
s01,audio,congruent,fast,slow,0.0,1.25
s01,audio,congruent,slow,slow,1.0,0.949
s01,audio,control,slow,slow,1.0,1.163
s01,audio,control,slow,slow,1.0,1.699
s01,audio,incongruent,fast,fast,1.0,0.996
s01,audio,incongruent,slow,fast,0.0,1.683
s01,audio,control,fast,fast,1.0,1.158
s01,audio,congruent,slow,slow,1.0,0.853
s01,audio,congruent,fast,slow,0.0,1.034
s01,audio,congruent,fast,slow,0.0,1.365
s01,audio,congruent,fast,fast,1.0,1.042
s01,audio,congruent,fast,fast,1.0,0.77
s01,audio,congruent,slow,slow,1.0,1.218
s01,audio,incongruent,slow,slow,1.0,0.674
s01,audio,congruent,fast,fast,1.0,0.89
s01,audio,incongruent,fast,fast,1.0,1.462
s01,audio,congruent,fast,fast,1.0,0.73
s01,audio,incongruent,fast,fast,1.0,0.69
s01,audio,incongruent,fast,fast,1.0,0.706
s01,audio,incongruent,slow,slow,1.0,0.966
s01,audio,control,fast,slow,0.0,0.602
s01,audio,congruent,fast,slow,0.0,0.79
s01,audio,congruent,slow,slow,1.0,0.926
s01,audio,incongruent,fast,fast,1.0,1.105
s01,audio,congruent,slow,slow,1.0,0.861
s01,audio,incongruent,slow,slow,1.0,0.725
s01,audio,congruent,slow,slow,1.0,1.579
s01,audio,congruent,slow,slow,1.0,0.893
s01,audio,incongruent,fast,fast,1.0,1.13
s01,audio,incongruent,slow,slow,1.0,1.107
s01,audio,congruent,fast,fast,1.0,1.168
s01,audio,congruent,slow,slow,1.0,0.849
s01,audio,congruent,fast,fast,1.0,0.958
s01,audio,incongruent,slow,slow,1.0,1.042
s01,audio,incongruent,fast,fast,1.0,1.261
s01,audio,control,fast,fast,1.0,1.421
s01,audio,control,fast,fast,1.0,2.378
s01,audio,control,slow,fast,0.0,0.845
s01,audio,congruent,fast,fast,1.0,1.118
s01,audio,control,fast,fast,1.0,0.961
s01,audio,incongruent,fast,fast,1.0,1.109
s01,audio,congruent,slow,fast,0.0,1.001
s01,audio,incongruent,slow,slow,1.0,0.617
s01,audio,incongruent,slow,slow,1.0,0.629
s01,audio,incongruent,slow,slow,1.0,0.797
s01,audio,control,slow,slow,1.0,1.034
