task,dependsOn,dic
visual,z+a,6669.338532988861
visual,v+z+a,6684.6993280126135
visual,z,6700.66582305757
visual,v+z,6748.827142370234
visual,v,8296.16188782823
visual,v+a,8300.150831099872
visual,a,8576.092913961722
visual,,8584.881741269573
