task,dependsOn,dic
visual,z+a,6692.498984444166
visual,v+z+a,6698.97643543364
visual,z,6701.74964912034
visual,v+z,6754.6552954508315
visual,v,8295.921354975788
visual,v+a,8298.964152012164
visual,a,8575.480434262843
visual,,8581.801732992502
