task,dependsOn,dic
visual,z+a,6692.498984444166
visual,v+z+a,6698.97643543364
visual,z,6701.749649120342
visual,v+z,6754.6552954508315
visual,v,8295.921354975786
visual,v+a,8298.964152012162
visual,a,8575.48043426284
visual,,8581.801732992504
