subj_idx,task,condition,stimulus,answered,correct,rt,response
S00,audio,incongruent,slow,slow,1,0.764,0
S00,audio,incongruent,slow,slow,1,1.045,0
S00,audio,control,fast,fast,1,0.865,1
S00,audio,incongruent,slow,fast,0,1.007,1
S00,audio,control,slow,slow,1,1.493,0
S00,audio,incongruent,fast,fast,1,0.861,1
S00,audio,control,slow,fast,0,0.97,1
S00,audio,incongruent,fast,fast,1,1.633,1
S00,audio,incongruent,fast,fast,1,1.014,1
S00,audio,control,fast,fast,1,1.581,1
S00,audio,congruent,slow,slow,1,1.002,0
S00,audio,incongruent,slow,fast,0,0.708,1
S00,audio,control,fast,fast,1,0.753,1
S00,audio,congruent,slow,slow,1,0.909,0
S00,audio,control,slow,slow,1,1.915,0
S00,audio,congruent,slow,fast,0,0.703,1
S00,audio,congruent,slow,slow,1,1.059,0
S00,audio,congruent,slow,slow,1,0.751,0
S00,audio,control,fast,fast,1,0.951,1
S00,audio,congruent,fast,fast,1,1.172,1
S00,audio,control,fast,fast,1,0.855,1
S00,audio,control,slow,fast,0,0.776,1
S00,audio,incongruent,slow,slow,1,0.883,0
S00,audio,incongruent,fast,fast,1,1.071,1
S00,audio,incongruent,fast,fast,1,1.332,1
S00,audio,incongruent,fast,fast,1,0.923,1
S00,audio,congruent,slow,slow,1,1.141,0
S00,audio,incongruent,slow,slow,1,1.042,0
S00,audio,incongruent,slow,slow,1,0.735,0
S00,audio,incongruent,slow,slow,1,0.767,0
S00,audio,control,fast,fast,1,0.811,1
S00,audio,control,slow,slow,1,1.138,0
S00,audio,incongruent,slow,fast,0,1.058,1
S00,audio,incongruent,slow,slow,1,1.015,0
S00,audio,congruent,fast,fast,1,0.783,1
S00,audio,control,fast,fast,1,0.919,1
S00,audio,control,slow,slow,1,1.52,0
S00,audio,congruent,fast,fast,1,1.339,1
S00,audio,control,slow,slow,1,1.594,0
S00,audio,incongruent,slow,slow,1,0.839,0
S00,audio,congruent,fast,fast,1,0.79,1
S00,audio,congruent,fast,fast,1,0.763,1
S00,audio,congruent,slow,slow,1,1.087,0
S00,audio,incongruent,fast,fast,1,0.822,1
S00,audio,incongruent,slow,slow,1,0.911,0
S00,audio,control,slow,slow,1,0.747,0
S00,audio,incongruent,slow,slow,1,0.894,0
S00,audio,control,fast,fast,1,0.894,1
S00,audio,congruent,fast,fast,1,1.276,1
S00,audio,incongruent,slow,slow,1,1.198,0
S00,audio,control,slow,slow,1,0.915,0
S00,audio,incongruent,slow,slow,1,1.164,0
S00,audio,control,fast,fast,1,0.967,1
S00,audio,control,slow,slow,1,1.094,0
S00,audio,control,slow,slow,1,0.895,0
S00,audio,incongruent,fast,slow,0,1.574,0
S00,audio,incongruent,slow,slow,1,0.886,0
S00,audio,congruent,fast,fast,1,1.013,1
S00,audio,incongruent,slow,slow,1,0.971,0
S00,audio,control,slow,slow,1,1.154,0
S00,audio,control,fast,fast,1,0.879,1
S00,audio,congruent,fast,slow,0,0.819,0
S00,audio,control,fast,fast,1,0.852,1
S00,audio,control,fast,fast,1,0.79,1
S00,audio,congruent,fast,fast,1,1.822,1
S00,audio,congruent,slow,fast,0,0.962,1
S00,audio,control,slow,slow,1,1.009,0
S00,audio,congruent,fast,fast,1,0.888,1
S00,audio,congruent,slow,slow,1,0.886,0
S00,audio,incongruent,fast,slow,0,1.48,0
S00,audio,control,slow,slow,1,0.942,0
S00,audio,congruent,fast,fast,1,0.991,1
S00,audio,control,fast,fast,1,1.135,1
S00,audio,congruent,slow,slow,1,1.154,0
S00,audio,congruent,fast,fast,1,1.907,1
S00,audio,congruent,slow,slow,1,0.974,0
S00,audio,congruent,fast,fast,1,1.623,1
S00,audio,incongruent,fast,slow,0,1.013,0
S00,audio,control,fast,slow,0,0.826,0
S00,audio,control,slow,slow,1,1.506,0
S00,audio,congruent,slow,slow,1,1.254,0
S00,audio,incongruent,slow,slow,1,1.198,0
S00,audio,control,fast,fast,1,1.743,1
S00,audio,congruent,fast,slow,0,1.25,0
S00,audio,congruent,slow,slow,1,0.949,0
S00,audio,control,slow,slow,1,1.163,0
S00,audio,control,slow,slow,1,1.699,0
S00,audio,incongruent,fast,fast,1,0.996,1
S00,audio,incongruent,slow,fast,0,1.683,1
S00,audio,control,fast,fast,1,1.158,1
S00,audio,congruent,slow,slow,1,0.853,0
S00,audio,congruent,fast,slow,0,1.034,0
S00,audio,congruent,fast,slow,0,1.365,0
S00,audio,congruent,fast,fast,1,1.042,1
S00,audio,congruent,fast,fast,1,0.77,1
S00,audio,congruent,slow,slow,1,1.218,0
S00,audio,incongruent,slow,slow,1,0.674,0
S00,audio,congruent,fast,fast,1,0.89,1
S00,audio,incongruent,fast,fast,1,1.462,1
S00,audio,congruent,fast,fast,1,0.73,1
S00,audio,incongruent,fast,fast,1,0.69,1
S00,audio,incongruent,fast,fast,1,0.706,1
S00,audio,incongruent,slow,slow,1,0.966,0
S00,audio,control,fast,slow,0,0.602,0
S00,audio,congruent,fast,slow,0,0.79,0
S00,audio,congruent,slow,slow,1,0.926,0
S00,audio,incongruent,fast,fast,1,1.105,1
S00,audio,congruent,slow,slow,1,0.861,0
S00,audio,incongruent,slow,slow,1,0.725,0
S00,audio,congruent,slow,slow,1,1.579,0
S00,audio,congruent,slow,slow,1,0.893,0
S00,audio,incongruent,fast,fast,1,1.13,1
S00,audio,incongruent,slow,slow,1,1.107,0
S00,audio,congruent,fast,fast,1,1.168,1
S00,audio,congruent,slow,slow,1,0.849,0
S00,audio,congruent,fast,fast,1,0.958,1
S00,audio,incongruent,slow,slow,1,1.042,0
S00,audio,incongruent,fast,fast,1,1.261,1
S00,audio,control,fast,fast,1,1.421,1
S00,audio,control,fast,fast,1,2.378,1
S00,audio,control,slow,fast,0,0.845,1
S00,audio,congruent,fast,fast,1,1.118,1
S00,audio,control,fast,fast,1,0.961,1
S00,audio,incongruent,fast,fast,1,1.109,1
S00,audio,congruent,slow,fast,0,1.001,1
S00,audio,incongruent,slow,slow,1,0.617,0
S00,audio,incongruent,slow,slow,1,0.629,0
S00,audio,incongruent,slow,slow,1,0.797,0
S00,audio,control,slow,slow,1,1.034,0
S00,audio,control,slow,fast,0,1.093,1
S00,audio,incongruent,slow,slow,1,0.792,0
S00,audio,incongruent,slow,slow,1,0.814,0
S00,audio,control,slow,slow,1,0.941,0
S00,audio,incongruent,fast,slow,0,1.181,0
S00,audio,control,slow,slow,1,1.261,0
S00,audio,control,slow,slow,1,0.729,0
S00,audio,incongruent,fast,slow,0,0.861,0
S00,audio,control,slow,slow,1,1.525,0
S00,audio,control,fast,fast,1,0.77,1
S00,audio,control,fast,fast,1,1.149,1
S00,audio,congruent,slow,slow,1,1.11,0
S00,audio,control,slow,slow,1,0.954,0
S00,audio,control,slow,slow,1,1.041,0
S00,audio,control,fast,fast,1,0.856,1
S00,audio,incongruent,fast,fast,1,0.866,1
S00,audio,incongruent,fast,fast,1,1.019,1
S00,audio,control,fast,fast,1,1.313,1
S00,audio,control,slow,fast,0,0.777,1
S00,audio,incongruent,slow,slow,1,0.933,0
S00,audio,congruent,slow,slow,1,0.81,0
S00,audio,congruent,fast,fast,1,0.862,1
S00,audio,incongruent,fast,fast,1,0.857,1
S00,audio,control,slow,slow,1,1.029,0
S00,audio,control,slow,slow,1,1.573,0
S00,audio,control,slow,fast,0,1.036,1
S00,audio,congruent,slow,slow,1,1.526,0
S00,audio,congruent,slow,fast,0,0.789,1
S00,audio,incongruent,slow,slow,1,1.069,0
S00,audio,incongruent,slow,slow,1,0.728,0
S00,audio,incongruent,slow,slow,1,0.797,0
S00,audio,control,slow,slow,1,0.732,0
S00,audio,congruent,fast,fast,1,1.03,1
S00,audio,congruent,slow,fast,0,0.717,1
S00,audio,incongruent,slow,slow,1,1.285,0
S00,audio,incongruent,slow,slow,1,1.254,0
S00,audio,congruent,fast,fast,1,0.868,1
S00,audio,control,slow,slow,1,0.996,0
S00,audio,incongruent,slow,slow,1,1.827,0
S00,audio,incongruent,slow,fast,0,0.907,1
S00,audio,control,slow,slow,1,1.046,0
S00,audio,congruent,fast,fast,1,0.822,1
S00,audio,congruent,slow,slow,1,1.231,0
S00,audio,control,slow,slow,1,0.89,0
S00,audio,control,fast,fast,1,1.179,1
S00,audio,control,slow,slow,1,0.987,0
S00,audio,control,fast,fast,1,1.075,1
S00,audio,incongruent,slow,slow,1,0.81,0
S00,audio,congruent,slow,slow,1,0.802,0
S00,audio,congruent,slow,slow,1,1.092,0
S00,audio,incongruent,slow,fast,0,0.774,1
S00,audio,congruent,fast,fast,1,0.961,1
S00,audio,incongruent,fast,fast,1,0.926,1
S00,audio,incongruent,fast,fast,1,0.825,1
S00,audio,control,slow,slow,1,0.695,0
S00,audio,control,slow,slow,1,0.623,0
S00,audio,congruent,fast,slow,0,0.442,0
S00,audio,congruent,fast,fast,1,0.803,1
S00,audio,control,slow,fast,0,0.842,1
S00,audio,incongruent,fast,fast,1,0.702,1
S00,audio,congruent,fast,fast,1,0.911,1
S00,audio,congruent,slow,slow,1,0.798,0
S00,audio,incongruent,slow,slow,1,0.749,0
S00,audio,control,slow,slow,1,0.883,0
S00,audio,control,fast,fast,1,0.875,1
S00,audio,congruent,fast,slow,0,0.82,0
S00,audio,control,slow,fast,0,1.322,1
S00,audio,congruent,slow,slow,1,1.19,0
S00,audio,incongruent,fast,slow,0,0.93,0
S00,audio,control,slow,slow,1,0.791,0
S00,audio,incongruent,fast,slow,0,1.546,0
S00,audio,incongruent,fast,fast,1,0.934,1
S00,audio,incongruent,fast,fast,1,0.951,1
S00,audio,incongruent,slow,slow,1,1.167,0
S00,audio,control,fast,fast,1,1.258,1
S00,audio,control,slow,slow,1,1.411,0
S00,audio,incongruent,slow,fast,0,0.897,1
S00,audio,control,fast,slow,0,0.834,0
S00,audio,incongruent,slow,slow,1,0.943,0
S00,audio,incongruent,fast,slow,0,1.046,0
S00,audio,incongruent,slow,slow,1,1.534,0
S00,audio,congruent,slow,fast,0,0.778,1
S00,audio,congruent,fast,slow,0,0.834,0
S00,audio,incongruent,fast,fast,1,1.062,1
S00,audio,control,fast,fast,1,0.861,1
S00,audio,control,slow,slow,1,1.001,0
S00,audio,incongruent,fast,slow,0,1.042,0
S00,audio,congruent,slow,slow,1,1.005,0
S00,audio,congruent,slow,fast,0,0.906,1
S00,audio,congruent,slow,slow,1,0.673,0
S00,audio,incongruent,slow,slow,1,0.75,0
S00,audio,incongruent,fast,slow,0,1.115,0
S00,audio,control,fast,fast,1,1.254,1
S00,audio,control,slow,slow,1,0.958,0
S00,audio,control,fast,fast,1,1.118,1
S00,audio,congruent,fast,slow,0,0.932,0
S00,audio,congruent,slow,slow,1,0.95,0
S00,audio,congruent,slow,slow,1,0.885,0
S00,audio,control,fast,fast,1,0.725,1
S00,audio,congruent,fast,fast,1,0.765,1
S00,audio,incongruent,slow,slow,1,0.895,0
S00,audio,control,slow,slow,1,1.051,0
S00,audio,congruent,fast,fast,1,0.785,1
S00,audio,congruent,fast,fast,1,1.154,1
S00,audio,incongruent,slow,slow,1,1.186,0
S00,audio,incongruent,fast,fast,1,0.95,1
S00,audio,control,fast,fast,1,0.882,1
S00,audio,control,fast,fast,1,0.875,1
S00,audio,control,slow,slow,1,1.403,0
S00,audio,congruent,fast,fast,1,0.766,1
S00,audio,congruent,fast,fast,1,1.162,1
S00,audio,control,slow,slow,1,1.249,0
S00,audio,incongruent,slow,slow,1,1.477,0
S00,audio,control,slow,slow,1,1.018,0
S00,audio,congruent,fast,fast,1,1.284,1
S00,audio,control,fast,slow,0,1.005,0
S00,audio,incongruent,fast,slow,0,1.418,0
S00,audio,congruent,fast,fast,1,1.369,1
S00,audio,control,fast,fast,1,1.134,1
S00,audio,congruent,slow,slow,1,1.405,0
S00,audio,congruent,fast,fast,1,0.965,1
S00,audio,control,slow,slow,1,1.141,0
S00,audio,congruent,fast,fast,1,0.938,1
S00,audio,congruent,fast,slow,0,1.008,0
S00,audio,control,fast,fast,1,1.814,1
S00,audio,congruent,slow,slow,1,1.605,0
S00,audio,incongruent,fast,fast,1,0.974,1
S00,audio,control,slow,slow,1,1.103,0
S00,audio,incongruent,slow,fast,0,1.2,1
S00,audio,congruent,slow,slow,1,1.874,0
S00,audio,incongruent,fast,fast,1,1.504,1
S00,audio,control,fast,fast,1,0.801,1
S00,audio,congruent,slow,fast,0,1.401,1
S00,audio,incongruent,slow,slow,1,1.221,0
S00,audio,control,fast,fast,1,0.881,1
S00,audio,congruent,slow,slow,1,1.61,0
S00,audio,incongruent,fast,fast,1,1.893,1
S00,audio,incongruent,fast,slow,0,1.552,0
S00,audio,control,fast,fast,1,1.928,1
